Id,TypeOfComputationUsed,GraphicalModelName,Iteration,MinAndMaxProbabilityofQueryequalsTrue,MaxAndMaxProbabilityofQueryequalsTrue,IntervalLength,NumberOfExtremePoints,AllExplored,Time,Total Time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5
37,S-BP,BinaryTreeModel5Incremental,7,0.25124943207632894,0.7868550368550369,0.5356056047787079,32,false,0.231,0.64,0,0,0,0,0
38,S-BP,BinaryTreeModel5Incremental,8,0.25124943207632894,0.7868550368550369,0.5356056047787079,32,false,0.204,0.844,0,0,0,0,0
39,S-BP,BinaryTreeModel5Incremental,9,0.25265754926746065,0.7843341069928377,0.531676557725377,64,false,0.394,1.238,0,0,0,0,0
40,S-BP,BinaryTreeModel5Incremental,10,0.25265754926746065,0.7843341069928377,0.531676557725377,64,false,0.306,1.544,0,0,0,0,0
41,S-BP,BinaryTreeModel5Incremental,11,0.28918489871936576,0.7477617442402307,0.4585768455208649,128,false,0.541,2.085,0,0,0,0,0
42,S-BP,BinaryTreeModel5Incremental,12,0.28918489871936576,0.7477617442402307,0.4585768455208649,128,false,0.538,2.623,0,0,0,0,0
43,S-BP,BinaryTreeModel5Incremental,13,0.28918489871936576,0.49672985476636844,0.20754495604700268,256,false,0.951,3.5740000000000003,0,0,0,0,0
44,S-BP,BinaryTreeModel5Incremental,14,0.28918489871936576,0.49672985476636844,0.20754495604700268,256,false,0.933,4.507000000000001,0,0,0,0,0
45,S-BP,BinaryTreeModel5Incremental,15,0.2919217544932245,0.49391282042035367,0.20199106592712918,128,false,0.532,5.039000000000001,0,0,0,0,0
46,S-BP,BinaryTreeModel5Incremental,16,0.2919217544932245,0.49391282042035367,0.20199106592712918,128,false,0.537,5.5760000000000005,0,0,0,0,0
47,S-BP,BinaryTreeModel5Incremental,17,0.3132481292110411,0.4569657512749774,0.1437176220639363,64,false,0.342,5.918,0,0,0,0,0
48,S-BP,BinaryTreeModel5Incremental,18,0.3132481292110411,0.4569657512749774,0.1437176220639363,64,false,0.349,6.267,0,0,0,0,0
49,S-BP,BinaryTreeModel5Incremental,19,0.31562067985456643,0.45572966110285834,0.1401089812482919,32,false,0.24,6.507000000000001,0,0,0,0,0
50,S-BP,BinaryTreeModel5Incremental,20,0.31562067985456643,0.45572966110285834,0.1401089812482919,32,false,0.243,6.750000000000001,0,0,0,0,0
51,S-BP,BinaryTreeModel5Incremental,21,0.31659229896099106,0.4552790513221614,0.13868675236117034,16,false,0.18,6.930000000000001,0,0,0,0,0
52,S-BP,BinaryTreeModel5Incremental,22,0.31659229896099106,0.4552790513221614,0.13868675236117034,16,false,0.256,7.186000000000001,0,0,0,0,0
