Id,typeOfComputationUsed,graphicalModelName,minAndMaxProbabilityofQueryequalsTrue,maxAndMaxProbabilityofQueryequalsTrue,IntervalLength,numberOfExtremePoints,allExplored,time,totaltime,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5
13,S-BP,IsingModel4X4,0.1388942374671285,0.2053863013730074,0.06649206390587889,32,false,1.74,5.228,4,4,0,0,0
14,S-BP,IsingModel4X4,0.1388942374671285,0.2053863013730074,0.06649206390587889,32,false,1.906,7.1339999999999995,4,4,0,0,0
15,S-BP,IsingModel4X4,0.1478335059795992,0.20159343431992405,0.053759928340324836,32,false,2.262,9.395999999999999,4,4,0,0,0
16,S-BP,IsingModel4X4,0.1478335059795992,0.20144411430669182,0.05361060832709261,16,false,3.105,12.501,4,4,0,0,0
17,S-BP,IsingModel4X4,0.17262333592091303,0.20144411430669182,0.02882077838577879,8,false,6.024,18.525,4,4,0,0,0
18,S-BP,IsingModel4X4,0.17745411755098395,0.20144411430669182,0.02398999675570787,8,false,6.193,24.717999999999996,4,4,0,0,0
19,S-BP,IsingModel4X4,0.17745411755098395,0.20144411430669182,0.02398999675570787,8,false,7.071,31.788999999999994,4,4,0,0,0
20,S-BP,IsingModel4X4,0.1795316498232157,0.1916947890900813,0.012163139266865602,8,false,10.372,42.160999999999994,4,4,0,0,0
21,S-BP,IsingModel4X4,0.182142599355319,0.1916947890900813,0.009552189734762295,4,false,8.716,50.876999999999995,4,4,0,0,0
22,S-BP,IsingModel4X4,0.18484803145089979,0.19161917157050068,0.006771140119600894,4,false,15.074,65.951,4,4,0,0,0
23,S-BP,IsingModel4X4,0.1871392966115126,0.1871392966115126,0.0,1,false,7.309,73.25999999999999,4,4,0,0,0
24,SGDPLL,IsingModel4X4,0.1871392966115126,0.1871392966115126,0.0,0,true,65.041,65.041,4,4,0,0,0
0,S-BP,Line Model,0.2727272727272727,0.5384615384615384,0.26573426573426573,2,false,0.008,0.008,4,5,0,0,0
1,S-BP,Line Model,0.4166666666666667,0.5384615384615384,0.12179487179487175,2,false,0.01,0.018000000000000002,4,5,0,0,0
2,S-BP,Line Model,0.4166666666666667,0.44029850746268656,0.023631840796019876,2,false,0.017,0.035,4,5,0,0,0
3,S-BP,Line Model,0.4166666666666667,0.4166666666666667,0.0,2,false,0.019,0.054000000000000006,4,5,0,0,0
4,S-BP,Line Model,0.4166666666666667,0.4166666666666667,0.0,2,false,0.039,0.093,4,5,0,0,0
5,S-BP,Line Model,0.4166666666666667,0.4166666666666667,0.0,2,false,0.033,0.126,4,5,0,0,0
6,S-BP,Line Model,0.4166666666666667,0.4166666666666667,0.0,2,false,0.041,0.167,4,5,0,0,0
7,S-BP,Line Model,0.4166666666666667,0.4166666666666667,0.0,1,false,0.024,0.191,4,5,0,0,0
