Id,TypeOfComputationUsed,GraphicalModelName,Iteration,MinAndMaxProbabilityofQueryequalsTrue,MaxAndMaxProbabilityofQueryequalsTrue,IntervalLength,NumberOfExtremePoints,AllExplored,Time,Total Time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5
0,S-BP,IsingModel4X4Incremental,0,0.0,1.0,1.0,2,false,0.261,0.261,0,0,0,0,0
1,S-BP,IsingModel4X4Incremental,1,0.0,0.8076923076923077,0.8076923076923077,4,false,0.174,0.435,0,0,0,0,0
2,S-BP,IsingModel4X4Incremental,2,0.0,0.8076923076923077,0.8076923076923077,4,false,0.094,0.529,0,0,0,0,0
3,S-BP,IsingModel4X4Incremental,3,0.0,0.7864693446088795,0.7864693446088795,8,false,0.233,0.762,0,0,0,0,0
4,S-BP,IsingModel4X4Incremental,4,0.0,0.7864693446088795,0.7864693446088795,8,false,0.227,0.989,0,0,0,0,0
5,S-BP,IsingModel4X4Incremental,5,0.20815859702630576,0.45944833264717994,0.2512897356208742,8,false,0.244,1.233,0,0,0,0,0
6,S-BP,IsingModel4X4Incremental,6,0.20815859702630576,0.45944833264717994,0.2512897356208742,8,false,0.24,1.473,0,0,0,0,0
7,S-BP,IsingModel4X4Incremental,7,0.22133345880581565,0.45944833264717994,0.2381148738413643,16,false,0.366,1.839,0,0,0,0,0
8,S-BP,IsingModel4X4Incremental,8,0.22133345880581565,0.45944833264717994,0.2381148738413643,16,false,0.291,2.13,0,0,0,0,0
9,S-BP,IsingModel4X4Incremental,9,0.25713750234272503,0.45944833264717994,0.2023108303044549,16,false,0.421,2.5509999999999997,0,0,0,0,0
10,S-BP,IsingModel4X4Incremental,10,0.25713750234272503,0.45944833264717994,0.2023108303044549,16,false,0.491,3.042,0,0,0,0,0
11,S-BP,IsingModel4X4Incremental,11,0.2940867097764056,0.45944833264717994,0.16536162287077433,16,false,0.349,3.391,0,0,0,0,0
12,S-BP,IsingModel4X4Incremental,12,0.30333694030150077,0.45944833264717994,0.15611139234567917,16,false,0.456,3.847,0,0,0,0,0
13,S-BP,IsingModel4X4Incremental,13,0.30333694030150077,0.45944833264717994,0.15611139234567917,16,false,0.427,4.274,0,0,0,0,0
14,S-BP,IsingModel4X4Incremental,14,0.30333694030150077,0.4577146908689847,0.15437775056748393,16,false,0.408,4.682,0,0,0,0,0
15,S-BP,IsingModel4X4Incremental,15,0.30333694030150077,0.4577146908689847,0.15437775056748393,16,false,0.405,5.087000000000001,0,0,0,0,0
16,S-BP,IsingModel4X4Incremental,16,0.32413911655973526,0.4207201896356332,0.09658107307589792,16,false,0.419,5.506,0,0,0,0,0
17,S-BP,IsingModel4X4Incremental,17,0.3781634900456558,0.4207201896356332,0.042556699589977376,8,false,0.641,6.147,0,0,0,0,0
18,S-BP,IsingModel4X4Incremental,18,0.3796456161198339,0.42068313984254047,0.04103752372270658,8,false,0.61,6.757000000000001,0,0,0,0,0
19,S-BP,IsingModel4X4Incremental,19,0.3796456161198339,0.42068313984254047,0.04103752372270658,8,false,0.6,7.357,0,0,0,0,0
20,S-BP,IsingModel4X4Incremental,20,0.3796456161198339,0.41818908001015503,0.03854346389032115,8,false,0.68,8.037,0,0,0,0,0
21,S-BP,IsingModel4X4Incremental,21,0.3938988064403783,0.40328946518363973,0.009390658743261449,4,false,0.75,8.787,0,0,0,0,0
22,S-BP,IsingModel4X4Incremental,22,0.3996200425597481,0.4021353158962222,0.002515273336474111,4,false,0.804,9.591000000000001,0,0,0,0,0
23,S-BP,IsingModel4X4Incremental,23,0.40066168011262737,0.40066168011262737,0.0,1,false,0.504,10.095,0,0,0,0,0
24,S-BP,IsingModel4X4Incremental,0,0.0,1.0,1.0,2,false,0.002,0.002,0,0,0,0,0
25,S-BP,IsingModel4X4Incremental,1,0.0,0.8076923076923077,0.8076923076923077,4,false,0.02,0.022,0,0,0,0,0
26,S-BP,IsingModel4X4Incremental,2,0.0,0.8076923076923077,0.8076923076923077,4,false,0.019,0.040999999999999995,0,0,0,0,0
27,S-BP,IsingModel4X4Incremental,3,0.0,0.7864693446088795,0.7864693446088795,8,false,0.047,0.088,0,0,0,0,0
28,S-BP,IsingModel4X4Incremental,4,0.0,0.7864693446088795,0.7864693446088795,8,false,0.067,0.155,0,0,0,0,0
29,S-BP,IsingModel4X4Incremental,5,0.20815859702630576,0.45944833264717994,0.2512897356208742,8,false,0.082,0.237,0,0,0,0,0
30,S-BP,IsingModel4X4Incremental,6,0.20815859702630576,0.45944833264717994,0.2512897356208742,8,false,0.074,0.311,0,0,0,0,0
31,S-BP,IsingModel4X4Incremental,7,0.22133345880581565,0.45944833264717994,0.2381148738413643,16,false,0.131,0.442,0,0,0,0,0
32,S-BP,IsingModel4X4Incremental,8,0.22133345880581565,0.45944833264717994,0.2381148738413643,16,false,0.116,0.558,0,0,0,0,0
33,S-BP,IsingModel4X4Incremental,9,0.25713750234272503,0.45944833264717994,0.2023108303044549,16,false,0.165,0.7230000000000001,0,0,0,0,0
34,S-BP,IsingModel4X4Incremental,10,0.25713750234272503,0.45944833264717994,0.2023108303044549,16,false,0.227,0.9500000000000001,0,0,0,0,0
35,S-BP,IsingModel4X4Incremental,11,0.2940867097764056,0.45944833264717994,0.16536162287077433,16,false,0.163,1.113,0,0,0,0,0
36,S-BP,IsingModel4X4Incremental,12,0.30333694030150077,0.45944833264717994,0.15611139234567917,16,false,0.232,1.345,0,0,0,0,0
37,S-BP,IsingModel4X4Incremental,13,0.30333694030150077,0.45944833264717994,0.15611139234567917,16,false,0.23,1.575,0,0,0,0,0
38,S-BP,IsingModel4X4Incremental,14,0.30333694030150077,0.4577146908689847,0.15437775056748393,16,false,0.249,1.8239999999999998,0,0,0,0,0
39,S-BP,IsingModel4X4Incremental,15,0.30333694030150077,0.4577146908689847,0.15437775056748393,16,false,0.302,2.126,0,0,0,0,0
40,S-BP,IsingModel4X4Incremental,16,0.32413911655973526,0.4207201896356332,0.09658107307589792,16,false,0.378,2.504,0,0,0,0,0
41,S-BP,IsingModel4X4Incremental,17,0.3781634900456558,0.4207201896356332,0.042556699589977376,8,false,0.575,3.0789999999999997,0,0,0,0,0
42,S-BP,IsingModel4X4Incremental,18,0.3796456161198339,0.42068313984254047,0.04103752372270658,8,false,0.555,3.634,0,0,0,0,0
43,S-BP,IsingModel4X4Incremental,19,0.3796456161198339,0.42068313984254047,0.04103752372270658,8,false,0.562,4.196,0,0,0,0,0
44,S-BP,IsingModel4X4Incremental,20,0.3796456161198339,0.41818908001015503,0.03854346389032115,8,false,0.577,4.773,0,0,0,0,0
45,S-BP,IsingModel4X4Incremental,21,0.3938988064403783,0.40328946518363973,0.009390658743261449,4,false,0.703,5.476,0,0,0,0,0
46,S-BP,IsingModel4X4Incremental,22,0.3996200425597481,0.4021353158962222,0.002515273336474111,4,false,0.729,6.205,0,0,0,0,0
47,S-BP,IsingModel4X4Incremental,23,0.40066168011262737,0.40066168011262737,0.0,1,false,0.44,6.6450000000000005,0,0,0,0,0
48,S-BP,IsingModel4X4Incremental,0,0.0,1.0,1.0,2,false,0.001,0.001,0,0,0,0,0
49,S-BP,IsingModel4X4Incremental,1,0.0,0.8076923076923077,0.8076923076923077,4,false,0.01,0.011,0,0,0,0,0
50,S-BP,IsingModel4X4Incremental,2,0.0,0.8076923076923077,0.8076923076923077,4,false,0.012,0.023,0,0,0,0,0
51,S-BP,IsingModel4X4Incremental,3,0.0,0.7864693446088795,0.7864693446088795,8,false,0.028,0.051000000000000004,0,0,0,0,0
52,S-BP,IsingModel4X4Incremental,4,0.0,0.7864693446088795,0.7864693446088795,8,false,0.042,0.093,0,0,0,0,0
53,S-BP,IsingModel4X4Incremental,5,0.20815859702630576,0.45944833264717994,0.2512897356208742,8,false,0.052,0.145,0,0,0,0,0
54,S-BP,IsingModel4X4Incremental,6,0.20815859702630576,0.45944833264717994,0.2512897356208742,8,false,0.065,0.21,0,0,0,0,0
55,S-BP,IsingModel4X4Incremental,7,0.22133345880581565,0.45944833264717994,0.2381148738413643,16,false,0.099,0.309,0,0,0,0,0
56,S-BP,IsingModel4X4Incremental,8,0.22133345880581565,0.45944833264717994,0.2381148738413643,16,false,0.107,0.416,0,0,0,0,0
57,S-BP,IsingModel4X4Incremental,9,0.25713750234272503,0.45944833264717994,0.2023108303044549,16,false,0.146,0.5619999999999999,0,0,0,0,0
58,S-BP,IsingModel4X4Incremental,10,0.25713750234272503,0.45944833264717994,0.2023108303044549,16,false,0.202,0.764,0,0,0,0,0
59,S-BP,IsingModel4X4Incremental,11,0.2940867097764056,0.45944833264717994,0.16536162287077433,16,false,0.171,0.935,0,0,0,0,0
60,S-BP,IsingModel4X4Incremental,12,0.30333694030150077,0.45944833264717994,0.15611139234567917,16,false,0.213,1.1480000000000001,0,0,0,0,0
61,S-BP,IsingModel4X4Incremental,13,0.30333694030150077,0.45944833264717994,0.15611139234567917,16,false,0.214,1.362,0,0,0,0,0
62,S-BP,IsingModel4X4Incremental,14,0.30333694030150077,0.4577146908689847,0.15437775056748393,16,false,0.252,1.614,0,0,0,0,0
63,S-BP,IsingModel4X4Incremental,15,0.30333694030150077,0.4577146908689847,0.15437775056748393,16,false,0.306,1.9200000000000002,0,0,0,0,0
64,S-BP,IsingModel4X4Incremental,16,0.32413911655973526,0.4207201896356332,0.09658107307589792,16,false,0.32,2.24,0,0,0,0,0
65,S-BP,IsingModel4X4Incremental,17,0.3781634900456558,0.4207201896356332,0.042556699589977376,8,false,0.596,2.8360000000000003,0,0,0,0,0
66,S-BP,IsingModel4X4Incremental,18,0.3796456161198339,0.42068313984254047,0.04103752372270658,8,false,0.465,3.301,0,0,0,0,0
67,S-BP,IsingModel4X4Incremental,19,0.3796456161198339,0.42068313984254047,0.04103752372270658,8,false,0.516,3.817,0,0,0,0,0
