Id,TypeOfComputationUsed,GraphicalModelName,Iteration,MinAndMaxProbabilityofQueryequalsTrue,MaxAndMaxProbabilityofQueryequalsTrue,IntervalLength,NumberOfExtremePoints,AllExplored,Time,Total Time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5
0,S-BP,IsingModel3X4Incremental,0,0.0,1.0,1.0,2,false,0.084,0.084,0,0,0,0,0
1,S-BP,IsingModel3X4Incremental,1,0.0,1.0,1.0,3,false,0.226,0.31,0,0,0,0,0
2,S-BP,IsingModel3X4Incremental,2,0.0,1.0,1.0,3,false,0.119,0.429,0,0,0,0,0
3,S-BP,IsingModel3X4Incremental,3,0.2727272727272727,1.0,0.7272727272727273,8,false,0.19,0.619,0,0,0,0,0
4,S-BP,IsingModel3X4Incremental,4,0.2727272727272727,1.0,0.7272727272727273,8,false,0.105,0.724,0,0,0,0,0
5,S-BP,IsingModel3X4Incremental,5,0.2727272727272727,0.865979381443299,0.5932521087160263,8,false,0.33,1.054,0,0,0,0,0
6,S-BP,IsingModel3X4Incremental,6,0.2727272727272727,0.865979381443299,0.5932521087160263,8,false,0.226,1.28,0,0,0,0,0
7,S-BP,IsingModel3X4Incremental,7,0.34993326978074357,0.7988571428571428,0.44892387307639925,16,false,0.54,1.82,0,0,0,0,0
8,S-BP,IsingModel3X4Incremental,8,0.34993326978074357,0.7988571428571428,0.44892387307639925,8,false,0.443,2.263,0,0,0,0,0
9,S-BP,IsingModel3X4Incremental,9,0.34993326978074357,0.7988571428571428,0.44892387307639925,8,false,0.716,2.979,0,0,0,0,0
10,S-BP,IsingModel3X4Incremental,10,0.39239554813938793,0.707641196013289,0.3152456478739011,8,false,0.418,3.3970000000000002,0,0,0,0,0
11,S-BP,IsingModel3X4Incremental,11,0.39239554813938793,0.707641196013289,0.3152456478739011,8,false,0.631,4.0280000000000005,0,0,0,0,0
12,S-BP,IsingModel3X4Incremental,12,0.41636524783732903,0.6646696314848249,0.2483043836474959,16,false,2.053,6.081,0,0,0,0,0
13,S-BP,IsingModel3X4Incremental,13,0.4223591364613136,0.6608215150810519,0.2384623786197383,8,false,1.645,7.726000000000001,0,0,0,0,0
14,S-BP,IsingModel3X4Incremental,14,0.4223591364613136,0.5336019510527983,0.11124281459148466,4,false,3.916,11.642000000000001,0,0,0,0,0
15,S-BP,IsingModel3X4Incremental,15,0.44885957309769225,0.5191371810836365,0.07027760798594423,4,false,7.271,18.913,0,0,0,0,0
16,S-BP,IsingModel3X4Incremental,16,0.4604054650686618,0.4604054650686618,0.0,1,true,2.353,21.266000000000002,0,0,0,0,0
17,SGDPLL,IsingModel3X4Incremental,-1,0.4604054650686618,0.4604054650686618,0.0,0,true,6.447,6.447,0,0,0,0,0
17,S-BP,IsingModel3X4Incremental,0,0.0,1.0,1.0,2,false,0.001,0.001,0,0,0,0,0
18,S-BP,IsingModel3X4Incremental,1,0.0,1.0,1.0,3,false,0.015,0.016,0,0,0,0,0
19,S-BP,IsingModel3X4Incremental,2,0.0,1.0,1.0,3,false,0.011,0.027,0,0,0,0,0
20,S-BP,IsingModel3X4Incremental,3,0.2727272727272727,1.0,0.7272727272727273,8,false,0.029,0.056,0,0,0,0,0
21,S-BP,IsingModel3X4Incremental,4,0.2727272727272727,1.0,0.7272727272727273,8,false,0.02,0.076,0,0,0,0,0
22,S-BP,IsingModel3X4Incremental,5,0.2727272727272727,0.865979381443299,0.5932521087160263,8,false,0.104,0.18,0,0,0,0,0
23,S-BP,IsingModel3X4Incremental,6,0.2727272727272727,0.865979381443299,0.5932521087160263,8,false,0.085,0.265,0,0,0,0,0
24,S-BP,IsingModel3X4Incremental,7,0.34993326978074357,0.7988571428571428,0.44892387307639925,16,false,0.266,0.531,0,0,0,0,0
25,S-BP,IsingModel3X4Incremental,8,0.34993326978074357,0.7988571428571428,0.44892387307639925,8,false,0.249,0.78,0,0,0,0,0
26,S-BP,IsingModel3X4Incremental,9,0.34993326978074357,0.7988571428571428,0.44892387307639925,8,false,0.532,1.312,0,0,0,0,0
27,S-BP,IsingModel3X4Incremental,10,0.39239554813938793,0.707641196013289,0.3152456478739011,8,false,0.406,1.718,0,0,0,0,0
28,S-BP,IsingModel3X4Incremental,11,0.39239554813938793,0.707641196013289,0.3152456478739011,8,false,0.594,2.312,0,0,0,0,0
29,S-BP,IsingModel3X4Incremental,12,0.41636524783732903,0.6646696314848249,0.2483043836474959,16,false,1.707,4.019,0,0,0,0,0
30,S-BP,IsingModel3X4Incremental,13,0.4223591364613136,0.6608215150810519,0.2384623786197383,8,false,1.548,5.567,0,0,0,0,0
31,S-BP,IsingModel3X4Incremental,14,0.4223591364613136,0.5336019510527983,0.11124281459148466,4,false,3.926,9.493,0,0,0,0,0
32,S-BP,IsingModel3X4Incremental,15,0.44885957309769225,0.5191371810836365,0.07027760798594423,4,false,6.612,16.105,0,0,0,0,0
33,S-BP,IsingModel3X4Incremental,16,0.4604054650686618,0.4604054650686618,0.0,1,true,2.112,18.217,0,0,0,0,0
17,SGDPLL,IsingModel3X4Incremental,-1,0.4604054650686618,0.4604054650686618,0.0,0,true,5.878,5.878,0,0,0,0,0
34,S-BP,IsingModel3X4Incremental,0,0.0,1.0,1.0,2,false,0.0,0.0,0,0,0,0,0
35,S-BP,IsingModel3X4Incremental,1,0.0,1.0,1.0,3,false,0.014,0.014,0,0,0,0,0
36,S-BP,IsingModel3X4Incremental,2,0.0,1.0,1.0,3,false,0.011,0.025,0,0,0,0,0
37,S-BP,IsingModel3X4Incremental,3,0.2727272727272727,1.0,0.7272727272727273,8,false,0.028,0.053000000000000005,0,0,0,0,0
38,S-BP,IsingModel3X4Incremental,4,0.2727272727272727,1.0,0.7272727272727273,8,false,0.021,0.07400000000000001,0,0,0,0,0
39,S-BP,IsingModel3X4Incremental,5,0.2727272727272727,0.865979381443299,0.5932521087160263,8,false,0.102,0.176,0,0,0,0,0
40,S-BP,IsingModel3X4Incremental,6,0.2727272727272727,0.865979381443299,0.5932521087160263,8,false,0.079,0.255,0,0,0,0,0
41,S-BP,IsingModel3X4Incremental,7,0.34993326978074357,0.7988571428571428,0.44892387307639925,16,false,0.253,0.508,0,0,0,0,0
42,S-BP,IsingModel3X4Incremental,8,0.34993326978074357,0.7988571428571428,0.44892387307639925,8,false,0.247,0.755,0,0,0,0,0
43,S-BP,IsingModel3X4Incremental,9,0.34993326978074357,0.7988571428571428,0.44892387307639925,8,false,0.521,1.276,0,0,0,0,0
44,S-BP,IsingModel3X4Incremental,10,0.39239554813938793,0.707641196013289,0.3152456478739011,8,false,0.394,1.67,0,0,0,0,0
45,S-BP,IsingModel3X4Incremental,11,0.39239554813938793,0.707641196013289,0.3152456478739011,8,false,0.575,2.245,0,0,0,0,0
46,S-BP,IsingModel3X4Incremental,12,0.41636524783732903,0.6646696314848249,0.2483043836474959,16,false,1.867,4.112,0,0,0,0,0
47,S-BP,IsingModel3X4Incremental,13,0.4223591364613136,0.6608215150810519,0.2384623786197383,8,false,1.523,5.635,0,0,0,0,0
48,S-BP,IsingModel3X4Incremental,14,0.4223591364613136,0.5336019510527983,0.11124281459148466,4,false,3.568,9.203,0,0,0,0,0
49,S-BP,IsingModel3X4Incremental,15,0.44885957309769225,0.5191371810836365,0.07027760798594423,4,false,6.557,15.76,0,0,0,0,0
50,S-BP,IsingModel3X4Incremental,16,0.4604054650686618,0.4604054650686618,0.0,1,true,2.102,17.862,0,0,0,0,0
17,SGDPLL,IsingModel3X4Incremental,-1,0.4604054650686618,0.4604054650686618,0.0,0,true,5.921,5.921,0,0,0,0,0
