Id,TypeOfComputationUsed,GraphicalModelName,Iteration,MinAndMaxProbabilityofQueryequalsTrue,MaxAndMaxProbabilityofQueryequalsTrue,IntervalLength,NumberOfExtremePoints,AllExplored,Time,Total Time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5
0,S-BP,lineModel20Incremental,0,0.2727272727272727,1.0,0.7272727272727273,2,false,0.222,0.222,0,0,0,0,0
1,S-BP,lineModel20Incremental,1,0.2727272727272727,0.7948717948717948,0.5221445221445221,2,false,0.14,0.362,0,0,0,0,0
2,S-BP,lineModel20Incremental,2,0.4232902033271719,0.7166212534059946,0.2933310500788227,2,false,0.148,0.51,0,0,0,0,0
3,S-BP,lineModel20Incremental,3,0.6121956569423119,0.7166212534059946,0.10442559646368266,2,false,0.158,0.668,0,0,0,0,0
4,S-BP,lineModel20Incremental,4,0.6187604919661517,0.6486653661321787,0.02990487416602705,2,false,0.135,0.803,0,0,0,0,0
5,S-BP,lineModel20Incremental,5,0.6392020815264527,0.6396145303877715,4.1244886131874825E-4,2,false,0.147,0.9500000000000001,0,0,0,0,0
6,S-BP,lineModel20Incremental,6,0.6392020815264527,0.6394012181092373,1.99136582784587E-4,2,false,0.161,1.111,0,0,0,0,0
7,S-BP,lineModel20Incremental,7,0.6392933391391247,0.6393557915465222,6.245240739755076E-5,2,false,0.156,1.267,0,0,0,0,0
8,S-BP,lineModel20Incremental,8,0.6393333355331104,0.6393333355331104,0.0,2,false,0.167,1.434,0,0,0,0,0
9,S-BP,lineModel20Incremental,9,0.6393333355331104,0.6393333355331104,0.0,2,false,0.175,1.609,0,0,0,0,0
10,S-BP,lineModel20Incremental,10,0.6393333355331104,0.6393333355331104,0.0,2,false,0.19,1.799,0,0,0,0,0
11,S-BP,lineModel20Incremental,11,0.6393333355331104,0.6393333355331104,0.0,2,false,0.18,1.9789999999999999,0,0,0,0,0
12,S-BP,lineModel20Incremental,12,0.6393333355331104,0.6393333355331104,0.0,2,false,0.202,2.181,0,0,0,0,0
13,S-BP,lineModel20Incremental,13,0.6393333355331104,0.6393333355331104,0.0,2,false,0.241,2.422,0,0,0,0,0
14,S-BP,lineModel20Incremental,14,0.6393333355331104,0.6393333355331104,0.0,2,false,0.195,2.617,0,0,0,0,0
15,S-BP,lineModel20Incremental,15,0.6393333355331104,0.6393333355331104,0.0,2,false,0.193,2.81,0,0,0,0,0
16,S-BP,lineModel20Incremental,16,0.6393333355331104,0.6393333355331104,0.0,2,false,0.187,2.997,0,0,0,0,0
17,S-BP,lineModel20Incremental,17,0.6393333355331104,0.6393333355331104,0.0,2,false,0.205,3.202,0,0,0,0,0
18,S-BP,lineModel20Incremental,18,0.6393333355331104,0.6393333355331104,0.0,1,true,0.138,3.34,0,0,0,0,0
19,S-BP,lineModel20Incremental,0,0.2727272727272727,1.0,0.7272727272727273,2,false,0.012,0.012,0,0,0,0,0
20,S-BP,lineModel20Incremental,1,0.2727272727272727,0.7948717948717948,0.5221445221445221,2,false,0.025,0.037000000000000005,0,0,0,0,0
21,S-BP,lineModel20Incremental,2,0.4232902033271719,0.7166212534059946,0.2933310500788227,2,false,0.041,0.07800000000000001,0,0,0,0,0
22,S-BP,lineModel20Incremental,3,0.6121956569423119,0.7166212534059946,0.10442559646368266,2,false,0.049,0.127,0,0,0,0,0
23,S-BP,lineModel20Incremental,4,0.6187604919661517,0.6486653661321787,0.02990487416602705,2,false,0.053,0.18,0,0,0,0,0
24,S-BP,lineModel20Incremental,5,0.6392020815264527,0.6396145303877715,4.1244886131874825E-4,2,false,0.068,0.248,0,0,0,0,0
25,S-BP,lineModel20Incremental,6,0.6392020815264527,0.6394012181092373,1.99136582784587E-4,2,false,0.065,0.313,0,0,0,0,0
26,S-BP,lineModel20Incremental,7,0.6392933391391247,0.6393557915465222,6.245240739755076E-5,2,false,0.068,0.381,0,0,0,0,0
27,S-BP,lineModel20Incremental,8,0.6393333355331104,0.6393333355331104,0.0,2,false,0.078,0.459,0,0,0,0,0
28,S-BP,lineModel20Incremental,9,0.6393333355331104,0.6393333355331104,0.0,2,false,0.083,0.542,0,0,0,0,0
29,S-BP,lineModel20Incremental,10,0.6393333355331104,0.6393333355331104,0.0,2,false,0.09,0.632,0,0,0,0,0
30,S-BP,lineModel20Incremental,11,0.6393333355331104,0.6393333355331104,0.0,2,false,0.098,0.73,0,0,0,0,0
31,S-BP,lineModel20Incremental,12,0.6393333355331104,0.6393333355331104,0.0,2,false,0.105,0.835,0,0,0,0,0
32,S-BP,lineModel20Incremental,13,0.6393333355331104,0.6393333355331104,0.0,2,false,0.107,0.942,0,0,0,0,0
33,S-BP,lineModel20Incremental,14,0.6393333355331104,0.6393333355331104,0.0,2,false,0.116,1.058,0,0,0,0,0
34,S-BP,lineModel20Incremental,15,0.6393333355331104,0.6393333355331104,0.0,2,false,0.133,1.191,0,0,0,0,0
35,S-BP,lineModel20Incremental,16,0.6393333355331104,0.6393333355331104,0.0,2,false,0.138,1.3290000000000002,0,0,0,0,0
36,S-BP,lineModel20Incremental,17,0.6393333355331104,0.6393333355331104,0.0,2,false,0.141,1.4700000000000002,0,0,0,0,0
37,S-BP,lineModel20Incremental,18,0.6393333355331104,0.6393333355331104,0.0,1,true,0.082,1.5520000000000003,0,0,0,0,0
38,S-BP,lineModel20Incremental,0,0.2727272727272727,1.0,0.7272727272727273,2,false,0.007,0.007,0,0,0,0,0
39,S-BP,lineModel20Incremental,1,0.2727272727272727,0.7948717948717948,0.5221445221445221,2,false,0.016,0.023,0,0,0,0,0
40,S-BP,lineModel20Incremental,2,0.4232902033271719,0.7166212534059946,0.2933310500788227,2,false,0.025,0.048,0,0,0,0,0
41,S-BP,lineModel20Incremental,3,0.6121956569423119,0.7166212534059946,0.10442559646368266,2,false,0.035,0.083,0,0,0,0,0
42,S-BP,lineModel20Incremental,4,0.6187604919661517,0.6486653661321787,0.02990487416602705,2,false,0.043,0.126,0,0,0,0,0
43,S-BP,lineModel20Incremental,5,0.6392020815264527,0.6396145303877715,4.1244886131874825E-4,2,false,0.049,0.175,0,0,0,0,0
44,S-BP,lineModel20Incremental,6,0.6392020815264527,0.6394012181092373,1.99136582784587E-4,2,false,0.056,0.23099999999999998,0,0,0,0,0
45,S-BP,lineModel20Incremental,7,0.6392933391391247,0.6393557915465222,6.245240739755076E-5,2,false,0.063,0.294,0,0,0,0,0
46,S-BP,lineModel20Incremental,8,0.6393333355331104,0.6393333355331104,0.0,2,false,0.069,0.363,0,0,0,0,0
47,S-BP,lineModel20Incremental,9,0.6393333355331104,0.6393333355331104,0.0,2,false,0.073,0.436,0,0,0,0,0
48,S-BP,lineModel20Incremental,10,0.6393333355331104,0.6393333355331104,0.0,2,false,0.084,0.52,0,0,0,0,0
49,S-BP,lineModel20Incremental,11,0.6393333355331104,0.6393333355331104,0.0,2,false,0.094,0.614,0,0,0,0,0
50,S-BP,lineModel20Incremental,12,0.6393333355331104,0.6393333355331104,0.0,2,false,0.099,0.713,0,0,0,0,0
51,S-BP,lineModel20Incremental,13,0.6393333355331104,0.6393333355331104,0.0,2,false,0.108,0.821,0,0,0,0,0
52,S-BP,lineModel20Incremental,14,0.6393333355331104,0.6393333355331104,0.0,2,false,0.109,0.9299999999999999,0,0,0,0,0
53,S-BP,lineModel20Incremental,15,0.6393333355331104,0.6393333355331104,0.0,2,false,0.125,1.055,0,0,0,0,0
54,S-BP,lineModel20Incremental,16,0.6393333355331104,0.6393333355331104,0.0,2,false,0.124,1.1789999999999998,0,0,0,0,0
55,S-BP,lineModel20Incremental,17,0.6393333355331104,0.6393333355331104,0.0,2,false,0.136,1.315,0,0,0,0,0
56,S-BP,lineModel20Incremental,18,0.6393333355331104,0.6393333355331104,0.0,1,true,0.075,1.39,0,0,0,0,0
57,S-BP,lineModel20Incremental,0,0.2727272727272727,1.0,0.7272727272727273,2,false,0.007,0.007,0,0,0,0,0
58,S-BP,lineModel20Incremental,1,0.2727272727272727,0.7948717948717948,0.5221445221445221,2,false,0.014,0.021,0,0,0,0,0
59,S-BP,lineModel20Incremental,2,0.4232902033271719,0.7166212534059946,0.2933310500788227,2,false,0.022,0.043,0,0,0,0,0
60,S-BP,lineModel20Incremental,3,0.6121956569423119,0.7166212534059946,0.10442559646368266,2,false,0.032,0.075,0,0,0,0,0
61,S-BP,lineModel20Incremental,4,0.6187604919661517,0.6486653661321787,0.02990487416602705,2,false,0.04,0.11499999999999999,0,0,0,0,0
62,S-BP,lineModel20Incremental,5,0.6392020815264527,0.6396145303877715,4.1244886131874825E-4,2,false,0.051,0.16599999999999998,0,0,0,0,0
63,S-BP,lineModel20Incremental,6,0.6392020815264527,0.6394012181092373,1.99136582784587E-4,2,false,0.054,0.21999999999999997,0,0,0,0,0
64,S-BP,lineModel20Incremental,7,0.6392933391391247,0.6393557915465222,6.245240739755076E-5,2,false,0.063,0.283,0,0,0,0,0
65,S-BP,lineModel20Incremental,8,0.6393333355331104,0.6393333355331104,0.0,2,false,0.066,0.349,0,0,0,0,0
66,S-BP,lineModel20Incremental,9,0.6393333355331104,0.6393333355331104,0.0,2,false,0.079,0.428,0,0,0,0,0
67,S-BP,lineModel20Incremental,10,0.6393333355331104,0.6393333355331104,0.0,2,false,0.081,0.509,0,0,0,0,0
68,S-BP,lineModel20Incremental,11,0.6393333355331104,0.6393333355331104,0.0,2,false,0.093,0.602,0,0,0,0,0
69,S-BP,lineModel20Incremental,12,0.6393333355331104,0.6393333355331104,0.0,2,false,0.106,0.708,0,0,0,0,0
70,S-BP,lineModel20Incremental,13,0.6393333355331104,0.6393333355331104,0.0,2,false,0.101,0.8089999999999999,0,0,0,0,0
71,S-BP,lineModel20Incremental,14,0.6393333355331104,0.6393333355331104,0.0,2,false,0.112,0.9209999999999999,0,0,0,0,0
72,S-BP,lineModel20Incremental,15,0.6393333355331104,0.6393333355331104,0.0,2,false,0.126,1.047,0,0,0,0,0
73,S-BP,lineModel20Incremental,16,0.6393333355331104,0.6393333355331104,0.0,2,false,0.124,1.1709999999999998,0,0,0,0,0
74,S-BP,lineModel20Incremental,17,0.6393333355331104,0.6393333355331104,0.0,2,false,0.137,1.3079999999999998,0,0,0,0,0
75,S-BP,lineModel20Incremental,18,0.6393333355331104,0.6393333355331104,0.0,1,true,0.074,1.382,0,0,0,0,0
76,S-BP,lineModel20Incremental,0,0.2727272727272727,1.0,0.7272727272727273,2,false,0.008,0.008,0,0,0,0,0
77,S-BP,lineModel20Incremental,1,0.2727272727272727,0.7948717948717948,0.5221445221445221,2,false,0.014,0.022,0,0,0,0,0
78,S-BP,lineModel20Incremental,2,0.4232902033271719,0.7166212534059946,0.2933310500788227,2,false,0.027,0.049,0,0,0,0,0
79,S-BP,lineModel20Incremental,3,0.6121956569423119,0.7166212534059946,0.10442559646368266,2,false,0.031,0.08,0,0,0,0,0
80,S-BP,lineModel20Incremental,4,0.6187604919661517,0.6486653661321787,0.02990487416602705,2,false,0.038,0.118,0,0,0,0,0
81,S-BP,lineModel20Incremental,5,0.6392020815264527,0.6396145303877715,4.1244886131874825E-4,2,false,0.046,0.16399999999999998,0,0,0,0,0
82,S-BP,lineModel20Incremental,6,0.6392020815264527,0.6394012181092373,1.99136582784587E-4,2,false,0.054,0.21799999999999997,0,0,0,0,0
83,S-BP,lineModel20Incremental,7,0.6392933391391247,0.6393557915465222,6.245240739755076E-5,2,false,0.064,0.282,0,0,0,0,0
84,S-BP,lineModel20Incremental,8,0.6393333355331104,0.6393333355331104,0.0,2,false,0.07,0.352,0,0,0,0,0
85,S-BP,lineModel20Incremental,9,0.6393333355331104,0.6393333355331104,0.0,2,false,0.07,0.422,0,0,0,0,0
86,S-BP,lineModel20Incremental,10,0.6393333355331104,0.6393333355331104,0.0,2,false,0.08,0.502,0,0,0,0,0
87,S-BP,lineModel20Incremental,11,0.6393333355331104,0.6393333355331104,0.0,2,false,0.09,0.592,0,0,0,0,0
88,S-BP,lineModel20Incremental,12,0.6393333355331104,0.6393333355331104,0.0,2,false,0.095,0.6869999999999999,0,0,0,0,0
89,S-BP,lineModel20Incremental,13,0.6393333355331104,0.6393333355331104,0.0,2,false,0.101,0.7879999999999999,0,0,0,0,0
90,S-BP,lineModel20Incremental,14,0.6393333355331104,0.6393333355331104,0.0,2,false,0.108,0.8959999999999999,0,0,0,0,0
91,S-BP,lineModel20Incremental,15,0.6393333355331104,0.6393333355331104,0.0,2,false,0.117,1.013,0,0,0,0,0
92,S-BP,lineModel20Incremental,16,0.6393333355331104,0.6393333355331104,0.0,2,false,0.133,1.146,0,0,0,0,0
93,S-BP,lineModel20Incremental,17,0.6393333355331104,0.6393333355331104,0.0,2,false,0.137,1.283,0,0,0,0,0
94,S-BP,lineModel20Incremental,18,0.6393333355331104,0.6393333355331104,0.0,1,true,0.073,1.3559999999999999,0,0,0,0,0
95,S-BP,lineModel20Incremental,0,0.2727272727272727,1.0,0.7272727272727273,2,false,0.007,0.007,0,0,0,0,0
96,S-BP,lineModel20Incremental,1,0.2727272727272727,0.7948717948717948,0.5221445221445221,2,false,0.013,0.02,0,0,0,0,0
97,S-BP,lineModel20Incremental,2,0.4232902033271719,0.7166212534059946,0.2933310500788227,2,false,0.022,0.041999999999999996,0,0,0,0,0
98,S-BP,lineModel20Incremental,3,0.6121956569423119,0.7166212534059946,0.10442559646368266,2,false,0.03,0.072,0,0,0,0,0
99,S-BP,lineModel20Incremental,4,0.6187604919661517,0.6486653661321787,0.02990487416602705,2,false,0.037,0.10899999999999999,0,0,0,0,0
100,S-BP,lineModel20Incremental,5,0.6392020815264527,0.6396145303877715,4.1244886131874825E-4,2,false,0.047,0.15599999999999997,0,0,0,0,0
101,S-BP,lineModel20Incremental,6,0.6392020815264527,0.6394012181092373,1.99136582784587E-4,2,false,0.055,0.21099999999999997,0,0,0,0,0
102,S-BP,lineModel20Incremental,7,0.6392933391391247,0.6393557915465222,6.245240739755076E-5,2,false,0.061,0.27199999999999996,0,0,0,0,0
103,S-BP,lineModel20Incremental,8,0.6393333355331104,0.6393333355331104,0.0,2,false,0.068,0.33999999999999997,0,0,0,0,0
104,S-BP,lineModel20Incremental,9,0.6393333355331104,0.6393333355331104,0.0,2,false,0.071,0.411,0,0,0,0,0
105,S-BP,lineModel20Incremental,10,0.6393333355331104,0.6393333355331104,0.0,2,false,0.084,0.495,0,0,0,0,0
106,S-BP,lineModel20Incremental,11,0.6393333355331104,0.6393333355331104,0.0,2,false,0.089,0.584,0,0,0,0,0
107,S-BP,lineModel20Incremental,12,0.6393333355331104,0.6393333355331104,0.0,2,false,0.103,0.6869999999999999,0,0,0,0,0
108,S-BP,lineModel20Incremental,13,0.6393333355331104,0.6393333355331104,0.0,2,false,0.101,0.7879999999999999,0,0,0,0,0
109,S-BP,lineModel20Incremental,14,0.6393333355331104,0.6393333355331104,0.0,2,false,0.107,0.8949999999999999,0,0,0,0,0
110,S-BP,lineModel20Incremental,15,0.6393333355331104,0.6393333355331104,0.0,2,false,0.119,1.0139999999999998,0,0,0,0,0
111,S-BP,lineModel20Incremental,16,0.6393333355331104,0.6393333355331104,0.0,2,false,0.122,1.1359999999999997,0,0,0,0,0
112,S-BP,lineModel20Incremental,17,0.6393333355331104,0.6393333355331104,0.0,2,false,0.138,1.2739999999999996,0,0,0,0,0
113,S-BP,lineModel20Incremental,18,0.6393333355331104,0.6393333355331104,0.0,1,true,0.067,1.3409999999999995,0,0,0,0,0
114,S-BP,lineModel20Incremental,0,0.2727272727272727,1.0,0.7272727272727273,2,false,0.006,0.006,0,0,0,0,0
115,S-BP,lineModel20Incremental,1,0.2727272727272727,0.7948717948717948,0.5221445221445221,2,false,0.016,0.022,0,0,0,0,0
116,S-BP,lineModel20Incremental,2,0.4232902033271719,0.7166212534059946,0.2933310500788227,2,false,0.025,0.047,0,0,0,0,0
117,S-BP,lineModel20Incremental,3,0.6121956569423119,0.7166212534059946,0.10442559646368266,2,false,0.029,0.076,0,0,0,0,0
118,S-BP,lineModel20Incremental,4,0.6187604919661517,0.6486653661321787,0.02990487416602705,2,false,0.039,0.11499999999999999,0,0,0,0,0
119,S-BP,lineModel20Incremental,5,0.6392020815264527,0.6396145303877715,4.1244886131874825E-4,2,false,0.051,0.16599999999999998,0,0,0,0,0
120,S-BP,lineModel20Incremental,6,0.6392020815264527,0.6394012181092373,1.99136582784587E-4,2,false,0.057,0.22299999999999998,0,0,0,0,0
121,S-BP,lineModel20Incremental,7,0.6392933391391247,0.6393557915465222,6.245240739755076E-5,2,false,0.062,0.285,0,0,0,0,0
122,S-BP,lineModel20Incremental,8,0.6393333355331104,0.6393333355331104,0.0,2,false,0.068,0.353,0,0,0,0,0
123,S-BP,lineModel20Incremental,9,0.6393333355331104,0.6393333355331104,0.0,2,false,0.073,0.426,0,0,0,0,0
124,S-BP,lineModel20Incremental,10,0.6393333355331104,0.6393333355331104,0.0,2,false,0.081,0.507,0,0,0,0,0
125,S-BP,lineModel20Incremental,11,0.6393333355331104,0.6393333355331104,0.0,2,false,0.092,0.599,0,0,0,0,0
126,S-BP,lineModel20Incremental,12,0.6393333355331104,0.6393333355331104,0.0,2,false,0.094,0.693,0,0,0,0,0
127,S-BP,lineModel20Incremental,13,0.6393333355331104,0.6393333355331104,0.0,2,false,0.11,0.8029999999999999,0,0,0,0,0
128,S-BP,lineModel20Incremental,14,0.6393333355331104,0.6393333355331104,0.0,2,false,0.115,0.9179999999999999,0,0,0,0,0
129,S-BP,lineModel20Incremental,15,0.6393333355331104,0.6393333355331104,0.0,2,false,0.117,1.035,0,0,0,0,0
130,S-BP,lineModel20Incremental,16,0.6393333355331104,0.6393333355331104,0.0,2,false,0.134,1.169,0,0,0,0,0
131,S-BP,lineModel20Incremental,17,0.6393333355331104,0.6393333355331104,0.0,2,false,0.136,1.3050000000000002,0,0,0,0,0
132,S-BP,lineModel20Incremental,18,0.6393333355331104,0.6393333355331104,0.0,1,true,0.072,1.3770000000000002,0,0,0,0,0
133,S-BP,lineModel20Incremental,0,0.2727272727272727,1.0,0.7272727272727273,2,false,0.006,0.006,0,0,0,0,0
134,S-BP,lineModel20Incremental,1,0.2727272727272727,0.7948717948717948,0.5221445221445221,2,false,0.014,0.02,0,0,0,0,0
135,S-BP,lineModel20Incremental,2,0.4232902033271719,0.7166212534059946,0.2933310500788227,2,false,0.023,0.043,0,0,0,0,0
136,S-BP,lineModel20Incremental,3,0.6121956569423119,0.7166212534059946,0.10442559646368266,2,false,0.03,0.073,0,0,0,0,0
137,S-BP,lineModel20Incremental,4,0.6187604919661517,0.6486653661321787,0.02990487416602705,2,false,0.039,0.11199999999999999,0,0,0,0,0
138,S-BP,lineModel20Incremental,5,0.6392020815264527,0.6396145303877715,4.1244886131874825E-4,2,false,0.048,0.15999999999999998,0,0,0,0,0
139,S-BP,lineModel20Incremental,6,0.6392020815264527,0.6394012181092373,1.99136582784587E-4,2,false,0.055,0.21499999999999997,0,0,0,0,0
140,S-BP,lineModel20Incremental,7,0.6392933391391247,0.6393557915465222,6.245240739755076E-5,2,false,0.067,0.282,0,0,0,0,0
141,S-BP,lineModel20Incremental,8,0.6393333355331104,0.6393333355331104,0.0,2,false,0.066,0.348,0,0,0,0,0
142,S-BP,lineModel20Incremental,9,0.6393333355331104,0.6393333355331104,0.0,2,false,0.077,0.425,0,0,0,0,0
143,S-BP,lineModel20Incremental,10,0.6393333355331104,0.6393333355331104,0.0,2,false,0.078,0.503,0,0,0,0,0
144,S-BP,lineModel20Incremental,11,0.6393333355331104,0.6393333355331104,0.0,2,false,0.086,0.589,0,0,0,0,0
145,S-BP,lineModel20Incremental,12,0.6393333355331104,0.6393333355331104,0.0,2,false,0.1,0.689,0,0,0,0,0
146,S-BP,lineModel20Incremental,13,0.6393333355331104,0.6393333355331104,0.0,2,false,0.1,0.7889999999999999,0,0,0,0,0
147,S-BP,lineModel20Incremental,14,0.6393333355331104,0.6393333355331104,0.0,2,false,0.105,0.8939999999999999,0,0,0,0,0
148,S-BP,lineModel20Incremental,15,0.6393333355331104,0.6393333355331104,0.0,2,false,0.119,1.013,0,0,0,0,0
149,S-BP,lineModel20Incremental,16,0.6393333355331104,0.6393333355331104,0.0,2,false,0.14,1.153,0,0,0,0,0
150,S-BP,lineModel20Incremental,17,0.6393333355331104,0.6393333355331104,0.0,2,false,0.134,1.287,0,0,0,0,0
151,S-BP,lineModel20Incremental,18,0.6393333355331104,0.6393333355331104,0.0,1,true,0.073,1.3599999999999999,0,0,0,0,0
152,S-BP,lineModel20Incremental,0,0.2727272727272727,1.0,0.7272727272727273,2,false,0.009,0.009,0,0,0,0,0
153,S-BP,lineModel20Incremental,1,0.2727272727272727,0.7948717948717948,0.5221445221445221,2,false,0.013,0.022,0,0,0,0,0
154,S-BP,lineModel20Incremental,2,0.4232902033271719,0.7166212534059946,0.2933310500788227,2,false,0.023,0.045,0,0,0,0,0
155,S-BP,lineModel20Incremental,3,0.6121956569423119,0.7166212534059946,0.10442559646368266,2,false,0.034,0.079,0,0,0,0,0
156,S-BP,lineModel20Incremental,4,0.6187604919661517,0.6486653661321787,0.02990487416602705,2,false,0.043,0.122,0,0,0,0,0
157,S-BP,lineModel20Incremental,5,0.6392020815264527,0.6396145303877715,4.1244886131874825E-4,2,false,0.048,0.16999999999999998,0,0,0,0,0
158,S-BP,lineModel20Incremental,6,0.6392020815264527,0.6394012181092373,1.99136582784587E-4,2,false,0.055,0.22499999999999998,0,0,0,0,0
159,S-BP,lineModel20Incremental,7,0.6392933391391247,0.6393557915465222,6.245240739755076E-5,2,false,0.061,0.286,0,0,0,0,0
