Id,TypeOfComputationUsed,GraphicalModelName,Iteration,MinAndMaxProbabilityofQueryequalsTrue,MaxAndMaxProbabilityofQueryequalsTrue,IntervalLength,NumberOfExtremePoints,AllExplored,Time,Total Time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5
0,S-BP,lineModel25Incremental,0,0.6666666666666666,0.75,0.08333333333333337,2,false,0.285,0.285,0,0,0,0,0
1,S-BP,lineModel25Incremental,1,0.675,0.75,0.07499999999999996,2,false,0.139,0.424,0,0,0,0,0
2,S-BP,lineModel25Incremental,2,0.6907894736842105,0.75,0.05921052631578949,2,false,0.131,0.5549999999999999,0,0,0,0,0
3,S-BP,lineModel25Incremental,3,0.6940993788819876,0.75,0.05590062111801242,2,false,0.149,0.704,0,0,0,0,0
4,S-BP,lineModel25Incremental,4,0.6940993788819876,0.6951219512195121,0.0010225723375245632,2,false,0.142,0.846,0,0,0,0,0
5,S-BP,lineModel25Incremental,5,0.6949781659388646,0.695069065210408,9.089927154337651E-5,2,false,0.129,0.975,0,0,0,0,0
6,S-BP,lineModel25Incremental,6,0.6949997144325776,0.695027083093235,2.7368660657445254E-5,2,false,0.153,1.128,0,0,0,0,0
7,S-BP,lineModel25Incremental,7,0.6950133379227261,0.695016762744352,3.4248216258525588E-6,2,false,0.17,1.2979999999999998,0,0,0,0,0
8,S-BP,lineModel25Incremental,8,0.6950150493813431,0.6950151046213753,5.524003221513141E-8,2,false,0.179,1.4769999999999999,0,0,0,0,0
9,S-BP,lineModel25Incremental,9,0.6950150642719393,0.6950150642719393,0.0,1,false,0.111,1.5879999999999999,0,0,0,0,0
10,S-BP,lineModel25Incremental,0,0.6666666666666666,0.75,0.08333333333333337,2,false,0.019,0.019,0,0,0,0,0
11,S-BP,lineModel25Incremental,1,0.675,0.75,0.07499999999999996,2,false,0.036,0.05499999999999999,0,0,0,0,0
12,S-BP,lineModel25Incremental,2,0.6907894736842105,0.75,0.05921052631578949,2,false,0.048,0.103,0,0,0,0,0
13,S-BP,lineModel25Incremental,3,0.6940993788819876,0.75,0.05590062111801242,2,false,0.093,0.196,0,0,0,0,0
14,S-BP,lineModel25Incremental,4,0.6940993788819876,0.6951219512195121,0.0010225723375245632,2,false,0.114,0.31,0,0,0,0,0
15,S-BP,lineModel25Incremental,5,0.6949781659388646,0.695069065210408,9.089927154337651E-5,2,false,0.132,0.442,0,0,0,0,0
16,S-BP,lineModel25Incremental,6,0.6949997144325776,0.695027083093235,2.7368660657445254E-5,2,false,0.158,0.6,0,0,0,0,0
17,S-BP,lineModel25Incremental,7,0.6950133379227261,0.695016762744352,3.4248216258525588E-6,2,false,0.132,0.732,0,0,0,0,0
18,S-BP,lineModel25Incremental,8,0.6950150493813431,0.6950151046213753,5.524003221513141E-8,2,false,0.131,0.863,0,0,0,0,0
19,S-BP,lineModel25Incremental,9,0.6950150642719393,0.6950150642719393,0.0,1,false,0.082,0.945,0,0,0,0,0
20,S-BP,lineModel25Incremental,0,0.6666666666666666,0.75,0.08333333333333337,2,false,0.013,0.013,0,0,0,0,0
21,S-BP,lineModel25Incremental,1,0.675,0.75,0.07499999999999996,2,false,0.029,0.042,0,0,0,0,0
22,S-BP,lineModel25Incremental,2,0.6907894736842105,0.75,0.05921052631578949,2,false,0.039,0.081,0,0,0,0,0
23,S-BP,lineModel25Incremental,3,0.6940993788819876,0.75,0.05590062111801242,2,false,0.057,0.138,0,0,0,0,0
24,S-BP,lineModel25Incremental,4,0.6940993788819876,0.6951219512195121,0.0010225723375245632,2,false,0.065,0.203,0,0,0,0,0
25,S-BP,lineModel25Incremental,5,0.6949781659388646,0.695069065210408,9.089927154337651E-5,2,false,0.078,0.281,0,0,0,0,0
26,S-BP,lineModel25Incremental,6,0.6949997144325776,0.695027083093235,2.7368660657445254E-5,2,false,0.082,0.36300000000000004,0,0,0,0,0
27,S-BP,lineModel25Incremental,7,0.6950133379227261,0.695016762744352,3.4248216258525588E-6,2,false,0.095,0.4580000000000001,0,0,0,0,0
28,S-BP,lineModel25Incremental,8,0.6950150493813431,0.6950151046213753,5.524003221513141E-8,2,false,0.121,0.5790000000000001,0,0,0,0,0
29,S-BP,lineModel25Incremental,9,0.6950150642719393,0.6950150642719393,0.0,1,false,0.068,0.647,0,0,0,0,0
30,S-BP,lineModel25Incremental,0,0.6666666666666666,0.75,0.08333333333333337,2,false,0.013,0.013,0,0,0,0,0
31,S-BP,lineModel25Incremental,1,0.675,0.75,0.07499999999999996,2,false,0.023,0.036,0,0,0,0,0
32,S-BP,lineModel25Incremental,2,0.6907894736842105,0.75,0.05921052631578949,2,false,0.038,0.074,0,0,0,0,0
33,S-BP,lineModel25Incremental,3,0.6940993788819876,0.75,0.05590062111801242,2,false,0.044,0.118,0,0,0,0,0
34,S-BP,lineModel25Incremental,4,0.6940993788819876,0.6951219512195121,0.0010225723375245632,2,false,0.045,0.16299999999999998,0,0,0,0,0
35,S-BP,lineModel25Incremental,5,0.6949781659388646,0.695069065210408,9.089927154337651E-5,2,false,0.049,0.21199999999999997,0,0,0,0,0
36,S-BP,lineModel25Incremental,6,0.6949997144325776,0.695027083093235,2.7368660657445254E-5,2,false,0.062,0.27399999999999997,0,0,0,0,0
37,S-BP,lineModel25Incremental,7,0.6950133379227261,0.695016762744352,3.4248216258525588E-6,2,false,0.071,0.345,0,0,0,0,0
38,S-BP,lineModel25Incremental,8,0.6950150493813431,0.6950151046213753,5.524003221513141E-8,2,false,0.081,0.426,0,0,0,0,0
39,S-BP,lineModel25Incremental,9,0.6950150642719393,0.6950150642719393,0.0,1,false,0.045,0.471,0,0,0,0,0
40,S-BP,lineModel25Incremental,0,0.6666666666666666,0.75,0.08333333333333337,2,false,0.009,0.009,0,0,0,0,0
41,S-BP,lineModel25Incremental,1,0.675,0.75,0.07499999999999996,2,false,0.017,0.026000000000000002,0,0,0,0,0
42,S-BP,lineModel25Incremental,2,0.6907894736842105,0.75,0.05921052631578949,2,false,0.022,0.048,0,0,0,0,0
43,S-BP,lineModel25Incremental,3,0.6940993788819876,0.75,0.05590062111801242,2,false,0.033,0.081,0,0,0,0,0
44,S-BP,lineModel25Incremental,4,0.6940993788819876,0.6951219512195121,0.0010225723375245632,2,false,0.041,0.122,0,0,0,0,0
45,S-BP,lineModel25Incremental,5,0.6949781659388646,0.695069065210408,9.089927154337651E-5,2,false,0.048,0.16999999999999998,0,0,0,0,0
46,S-BP,lineModel25Incremental,6,0.6949997144325776,0.695027083093235,2.7368660657445254E-5,2,false,0.062,0.23199999999999998,0,0,0,0,0
47,S-BP,lineModel25Incremental,7,0.6950133379227261,0.695016762744352,3.4248216258525588E-6,2,false,0.082,0.314,0,0,0,0,0
48,S-BP,lineModel25Incremental,8,0.6950150493813431,0.6950151046213753,5.524003221513141E-8,2,false,0.089,0.403,0,0,0,0,0
49,S-BP,lineModel25Incremental,9,0.6950150642719393,0.6950150642719393,0.0,1,false,0.047,0.45,0,0,0,0,0
50,S-BP,lineModel25Incremental,0,0.6666666666666666,0.75,0.08333333333333337,2,false,0.008,0.008,0,0,0,0,0
51,S-BP,lineModel25Incremental,1,0.675,0.75,0.07499999999999996,2,false,0.018,0.026,0,0,0,0,0
52,S-BP,lineModel25Incremental,2,0.6907894736842105,0.75,0.05921052631578949,2,false,0.023,0.049,0,0,0,0,0
53,S-BP,lineModel25Incremental,3,0.6940993788819876,0.75,0.05590062111801242,2,false,0.036,0.08499999999999999,0,0,0,0,0
54,S-BP,lineModel25Incremental,4,0.6940993788819876,0.6951219512195121,0.0010225723375245632,2,false,0.042,0.127,0,0,0,0,0
55,S-BP,lineModel25Incremental,5,0.6949781659388646,0.695069065210408,9.089927154337651E-5,2,false,0.049,0.176,0,0,0,0,0
56,S-BP,lineModel25Incremental,6,0.6949997144325776,0.695027083093235,2.7368660657445254E-5,2,false,0.058,0.23399999999999999,0,0,0,0,0
57,S-BP,lineModel25Incremental,7,0.6950133379227261,0.695016762744352,3.4248216258525588E-6,2,false,0.064,0.298,0,0,0,0,0
58,S-BP,lineModel25Incremental,8,0.6950150493813431,0.6950151046213753,5.524003221513141E-8,2,false,0.072,0.37,0,0,0,0,0
59,S-BP,lineModel25Incremental,9,0.6950150642719393,0.6950150642719393,0.0,1,false,0.041,0.411,0,0,0,0,0
60,S-BP,lineModel25Incremental,0,0.6666666666666666,0.75,0.08333333333333337,2,false,0.007,0.007,0,0,0,0,0
61,S-BP,lineModel25Incremental,1,0.675,0.75,0.07499999999999996,2,false,0.015,0.022,0,0,0,0,0
62,S-BP,lineModel25Incremental,2,0.6907894736842105,0.75,0.05921052631578949,2,false,0.024,0.046,0,0,0,0,0
63,S-BP,lineModel25Incremental,3,0.6940993788819876,0.75,0.05590062111801242,2,false,0.029,0.075,0,0,0,0,0
64,S-BP,lineModel25Incremental,4,0.6940993788819876,0.6951219512195121,0.0010225723375245632,2,false,0.039,0.11399999999999999,0,0,0,0,0
65,S-BP,lineModel25Incremental,5,0.6949781659388646,0.695069065210408,9.089927154337651E-5,2,false,0.045,0.15899999999999997,0,0,0,0,0
66,S-BP,lineModel25Incremental,6,0.6949997144325776,0.695027083093235,2.7368660657445254E-5,2,false,0.061,0.21999999999999997,0,0,0,0,0
67,S-BP,lineModel25Incremental,7,0.6950133379227261,0.695016762744352,3.4248216258525588E-6,2,false,0.067,0.287,0,0,0,0,0
68,S-BP,lineModel25Incremental,8,0.6950150493813431,0.6950151046213753,5.524003221513141E-8,2,false,0.079,0.366,0,0,0,0,0
69,S-BP,lineModel25Incremental,9,0.6950150642719393,0.6950150642719393,0.0,1,false,0.044,0.41,0,0,0,0,0
70,S-BP,lineModel25Incremental,0,0.6666666666666666,0.75,0.08333333333333337,2,false,0.009,0.009,0,0,0,0,0
71,S-BP,lineModel25Incremental,1,0.675,0.75,0.07499999999999996,2,false,0.017,0.026000000000000002,0,0,0,0,0
72,S-BP,lineModel25Incremental,2,0.6907894736842105,0.75,0.05921052631578949,2,false,0.022,0.048,0,0,0,0,0
73,S-BP,lineModel25Incremental,3,0.6940993788819876,0.75,0.05590062111801242,2,false,0.035,0.083,0,0,0,0,0
74,S-BP,lineModel25Incremental,4,0.6940993788819876,0.6951219512195121,0.0010225723375245632,2,false,0.041,0.124,0,0,0,0,0
75,S-BP,lineModel25Incremental,5,0.6949781659388646,0.695069065210408,9.089927154337651E-5,2,false,0.045,0.16899999999999998,0,0,0,0,0
76,S-BP,lineModel25Incremental,6,0.6949997144325776,0.695027083093235,2.7368660657445254E-5,2,false,0.057,0.22599999999999998,0,0,0,0,0
77,S-BP,lineModel25Incremental,7,0.6950133379227261,0.695016762744352,3.4248216258525588E-6,2,false,0.065,0.291,0,0,0,0,0
78,S-BP,lineModel25Incremental,8,0.6950150493813431,0.6950151046213753,5.524003221513141E-8,2,false,0.074,0.365,0,0,0,0,0
79,S-BP,lineModel25Incremental,9,0.6950150642719393,0.6950150642719393,0.0,1,false,0.044,0.409,0,0,0,0,0
80,S-BP,lineModel25Incremental,0,0.6666666666666666,0.75,0.08333333333333337,2,false,0.008,0.008,0,0,0,0,0
81,S-BP,lineModel25Incremental,1,0.675,0.75,0.07499999999999996,2,false,0.015,0.023,0,0,0,0,0
82,S-BP,lineModel25Incremental,2,0.6907894736842105,0.75,0.05921052631578949,2,false,0.022,0.045,0,0,0,0,0
83,S-BP,lineModel25Incremental,3,0.6940993788819876,0.75,0.05590062111801242,2,false,0.03,0.075,0,0,0,0,0
84,S-BP,lineModel25Incremental,4,0.6940993788819876,0.6951219512195121,0.0010225723375245632,2,false,0.044,0.119,0,0,0,0,0
85,S-BP,lineModel25Incremental,5,0.6949781659388646,0.695069065210408,9.089927154337651E-5,2,false,0.047,0.16599999999999998,0,0,0,0,0
86,S-BP,lineModel25Incremental,6,0.6949997144325776,0.695027083093235,2.7368660657445254E-5,2,false,0.057,0.22299999999999998,0,0,0,0,0
87,S-BP,lineModel25Incremental,7,0.6950133379227261,0.695016762744352,3.4248216258525588E-6,2,false,0.064,0.287,0,0,0,0,0
88,S-BP,lineModel25Incremental,8,0.6950150493813431,0.6950151046213753,5.524003221513141E-8,2,false,0.074,0.361,0,0,0,0,0
89,S-BP,lineModel25Incremental,9,0.6950150642719393,0.6950150642719393,0.0,1,false,0.043,0.40399999999999997,0,0,0,0,0
90,S-BP,lineModel25Incremental,0,0.6666666666666666,0.75,0.08333333333333337,2,false,0.01,0.01,0,0,0,0,0
91,S-BP,lineModel25Incremental,1,0.675,0.75,0.07499999999999996,2,false,0.015,0.025,0,0,0,0,0
92,S-BP,lineModel25Incremental,2,0.6907894736842105,0.75,0.05921052631578949,2,false,0.021,0.046,0,0,0,0,0
93,S-BP,lineModel25Incremental,3,0.6940993788819876,0.75,0.05590062111801242,2,false,0.031,0.077,0,0,0,0,0
94,S-BP,lineModel25Incremental,4,0.6940993788819876,0.6951219512195121,0.0010225723375245632,2,false,0.04,0.11699999999999999,0,0,0,0,0
95,S-BP,lineModel25Incremental,5,0.6949781659388646,0.695069065210408,9.089927154337651E-5,2,false,0.047,0.16399999999999998,0,0,0,0,0
96,S-BP,lineModel25Incremental,6,0.6949997144325776,0.695027083093235,2.7368660657445254E-5,2,false,0.061,0.22499999999999998,0,0,0,0,0
97,S-BP,lineModel25Incremental,7,0.6950133379227261,0.695016762744352,3.4248216258525588E-6,2,false,0.067,0.292,0,0,0,0,0
98,S-BP,lineModel25Incremental,8,0.6950150493813431,0.6950151046213753,5.524003221513141E-8,2,false,0.072,0.364,0,0,0,0,0
99,S-BP,lineModel25Incremental,9,0.6950150642719393,0.6950150642719393,0.0,1,false,0.04,0.40399999999999997,0,0,0,0,0
100,S-BP,lineModel25NONIncremental,0,0.6666666666666666,0.75,0.08333333333333337,2,false,0.008,0.008,0,0,0,0,0
101,S-BP,lineModel25NONIncremental,1,0.675,0.75,0.07499999999999996,2,false,0.014,0.022,0,0,0,0,0
102,S-BP,lineModel25NONIncremental,2,0.6907894736842105,0.75,0.05921052631578949,2,false,0.023,0.045,0,0,0,0,0
103,S-BP,lineModel25NONIncremental,3,0.6940993788819876,0.75,0.05590062111801242,2,false,0.032,0.077,0,0,0,0,0
