Id,TypeOfComputationUsed,GraphicalModelName,Iteration,MinAndMaxProbabilityofQueryequalsTrue,MaxAndMaxProbabilityofQueryequalsTrue,IntervalLength,NumberOfExtremePoints,AllExplored,Time,Total Time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5
0,S-BP,IsingModel8X2Incremental,0,0.0,1.0,1.0,2,false,0.085,0.085,0,0,0,0,0
1,S-BP,IsingModel8X2Incremental,1,0.0,1.0,1.0,3,false,0.208,0.293,0,0,0,0,0
2,S-BP,IsingModel8X2Incremental,2,1.0,1.0,0.0,2,false,0.109,0.40199999999999997,0,0,0,0,0
3,S-BP,IsingModel8X2Incremental,0,0.0,1.0,1.0,2,false,0.002,0.002,0,0,0,0,0
4,S-BP,IsingModel8X2Incremental,1,0.0,1.0,1.0,3,false,0.086,0.088,0,0,0,0,0
5,S-BP,IsingModel8X2Incremental,2,1.0,1.0,0.0,2,false,0.067,0.155,0,0,0,0,0
6,S-BP,IsingModel8X2Incremental,0,0.0,1.0,1.0,2,false,0.001,0.001,0,0,0,0,0
7,S-BP,IsingModel8X2Incremental,1,0.0,1.0,1.0,3,false,0.058,0.059000000000000004,0,0,0,0,0
8,S-BP,IsingModel8X2Incremental,2,1.0,1.0,0.0,2,false,0.051,0.11,0,0,0,0,0
9,S-BP,IsingModel8X2Incremental,0,0.0,1.0,1.0,2,false,0.001,0.001,0,0,0,0,0
10,S-BP,IsingModel8X2Incremental,1,0.0,1.0,1.0,3,false,0.042,0.043000000000000003,0,0,0,0,0
11,S-BP,IsingModel8X2Incremental,2,1.0,1.0,0.0,2,false,0.037,0.08,0,0,0,0,0
12,S-BP,IsingModel8X2Incremental,0,0.0,1.0,1.0,2,false,0.001,0.001,0,0,0,0,0
13,S-BP,IsingModel8X2Incremental,1,0.0,1.0,1.0,3,false,0.035,0.036000000000000004,0,0,0,0,0
14,S-BP,IsingModel8X2Incremental,2,1.0,1.0,0.0,2,false,0.038,0.07400000000000001,0,0,0,0,0
15,S-BP,IsingModel8X2Incremental,0,0.0,1.0,1.0,2,false,0.001,0.001,0,0,0,0,0
16,S-BP,IsingModel8X2Incremental,1,0.0,1.0,1.0,3,false,0.042,0.043000000000000003,0,0,0,0,0
17,S-BP,IsingModel8X2Incremental,2,1.0,1.0,0.0,2,false,0.038,0.081,0,0,0,0,0
18,S-BP,IsingModel8X2Incremental,0,0.0,1.0,1.0,2,false,0.0,0.0,0,0,0,0,0
19,S-BP,IsingModel8X2Incremental,1,0.0,1.0,1.0,3,false,0.029,0.029,0,0,0,0,0
20,S-BP,IsingModel8X2Incremental,2,1.0,1.0,0.0,2,false,0.034,0.063,0,0,0,0,0
21,S-BP,IsingModel8X2Incremental,0,0.0,1.0,1.0,2,false,0.0,0.0,0,0,0,0,0
22,S-BP,IsingModel8X2Incremental,1,0.0,1.0,1.0,3,false,0.029,0.029,0,0,0,0,0
23,S-BP,IsingModel8X2Incremental,2,1.0,1.0,0.0,2,false,0.03,0.059,0,0,0,0,0
24,S-BP,IsingModel8X2Incremental,0,0.0,1.0,1.0,2,false,0.001,0.001,0,0,0,0,0
25,S-BP,IsingModel8X2Incremental,1,0.0,1.0,1.0,3,false,0.028,0.029,0,0,0,0,0
26,S-BP,IsingModel8X2Incremental,2,1.0,1.0,0.0,2,false,0.031,0.06,0,0,0,0,0
27,S-BP,IsingModel8X2Incremental,0,0.0,1.0,1.0,2,false,0.001,0.001,0,0,0,0,0
28,S-BP,IsingModel8X2Incremental,1,0.0,1.0,1.0,3,false,0.03,0.031,0,0,0,0,0
29,S-BP,IsingModel8X2Incremental,2,1.0,1.0,0.0,2,false,0.031,0.062,0,0,0,0,0
30,S-BP,IsingModel8X2NONIncremental,0,0.0,1.0,1.0,2,false,0.0,0.0,0,0,0,0,0
31,S-BP,IsingModel8X2NONIncremental,1,0.0,1.0,1.0,3,false,0.028,0.028,0,0,0,0,0
32,S-BP,IsingModel8X2NONIncremental,2,1.0,1.0,0.0,2,false,0.032,0.06,0,0,0,0,0
33,S-BP,IsingModel8X2NONIncremental,0,0.0,1.0,1.0,2,false,0.0,0.0,0,0,0,0,0
34,S-BP,IsingModel8X2NONIncremental,1,0.0,1.0,1.0,3,false,0.03,0.03,0,0,0,0,0
35,S-BP,IsingModel8X2NONIncremental,2,1.0,1.0,0.0,2,false,0.039,0.069,0,0,0,0,0
36,S-BP,IsingModel8X2NONIncremental,0,0.0,1.0,1.0,2,false,0.0,0.0,0,0,0,0,0
37,S-BP,IsingModel8X2NONIncremental,1,0.0,1.0,1.0,3,false,0.028,0.028,0,0,0,0,0
38,S-BP,IsingModel8X2NONIncremental,2,1.0,1.0,0.0,2,false,0.034,0.062,0,0,0,0,0
39,S-BP,IsingModel8X2NONIncremental,0,0.0,1.0,1.0,2,false,0.001,0.001,0,0,0,0,0
